M_PreInc+A1:I33,M_Inc,M_BrdRRPh1,M_BrdRRPh2,F_PreInc,F_Inc,F_BrdRRPh1,F_BRRRPh2
42.59,70.86,35.95,29.22,58.33,60.00,54.89,25.79
28.63,56.41,18.74,28.05,60.89,62.11,57.02,25.82
36.68,69.79,28.26,29.85,68.00,71.34,59.01,27.76
7.74,51.48,47.85,0.00,73.02,72.64,66.52,33.30
36.63,61.37,43.67,3.16,76.49,73.16,69.74,35.34
47.98,68.84,17.35,16.35,77.06,73.66,72.02,35.74
29.34,59.98,25.68,46.11,79.70,77.03,72.12,37.13
35.32,42.60,17.83,8.37,80.97,78.38,72.89,39.92
34.94,35.17,45.61,27.75,82.01,80.04,73.29,41.10
22.11,61.35,48.00,30.08,82.92,80.58,73.96,42.35
66.74,60.78,41.05,18.86,83.93,80.93,75.00,43.43
58.70,47.45,62.84,28.09,85.24,81.36,77.78,46.35
46.70,72.69,33.29,27.41,85.30,81.81,78.02,46.46
33.72,72.95,36.55,51.05,86.07,82.37,78.46,46.61
32.44,61.14,39.19,31.84,86.67,82.74,79.52,47.27
22.82,63.51,48.45,57.38,87.03,83.47,80.53,47.47
25.34,46.44,38.16,15.61,87.82,83.48,80.65,47.71
55.35,52.28,20.66,35.85,87.94,83.69,81.64,48.23
61.99,67.56,11.72,17.01,89.01,83.91,81.75,48.44
55.66,51.48,18.60,25.93,94.78,83.94,81.81,51.22
16.58,66.42,60.15,34.81,95.31,84.50,82.33,53.05
33.29,71.27,37.48,12.33,95.53,84.65,84.15,57.59
35.68,72.04,27.52,45.85,96.25,84.79,84.20,58.25
44.71,61.89,34.52,25.71,96.62,85.34,84.70,59.93
18.53,55.84,63.08,18.89,98.03,85.45,86.01,60.73
45.19,48.15,64.16,22.74,98.36,85.57,86.54,60.82
55.82,71.10,36.79,17.19,98.68,85.78,86.92,61.04
46.84,59.58,60.12,54.82,99.11,85.79,87.48,62.57
33.89,77.06,20.17,15.06,100.00,87.20,87.84,63.38
48.21,53.03,46.64,33.98,100.00,87.54,88.02,63.44
37.35,73.43,56.71,65.47,100.00,87.86,89.20,65.20
32.73,61.78,51.14,54.54,100.00,88.20,89.66,65.84
36.71,61.70,35.36,29.20,100.00,88.20,89.95,67.66
66.92,43.29,41.17,24.23,100.00,88.59,90.46,71.54
75.62,52.72,38.20,37.11,100.00,88.80,92.23,74.27
,54.41,41.98,39.92,,89.20,92.46,74.33
,55.35,57.32,65.12,,90.06,92.54,74.44
,45.82,65.88,54.99,,90.32,92.63,77.60
,54.69,39.61,62.08,,90.41,93.86,77.75
,68.44,64.55,29.63,,90.51,94.50,78.58
,76.80,31.68,35.38,,91.70,94.81,79.47
,35.24,28.57,,,91.91,97.14,
,61.86,31.15,,,93.16,97.20,
,57.28,24.07,,,94.17,98.65,
,64.78,,,,94.78,,
,43.40,,,,94.87,,
,75.11,,,,95.40,,
,55.46,,,,96.75,,
,42.93,,,,97.06,,
,57.52,,,,98.91,,
